"","1","2","3","4"
"1-149-1_0_A2_1",0.991454287671518,0.000315929695974537,0.00559723623164297,0.00263254640086518
"1-149-2_0_A2_2",0.98160436043117,0.00200973785809405,0.0122884212533066,0.00409748045742862
"1-149-3_0_A2_1",0.983667826080161,0.00105208431466082,0.0124886183355236,0.00279147126965402
"1-202-1_0_C4_1",0.991696991179918,0.00211405026627929,0.00511464860214231,0.00107430995166078
"1-202-2_0_D4_1",0.982508909005746,0.0051475163520147,0.0087063211897953,0.00363725345244408
"1-202-3_0_D4_1",0.980363683066439,0.00304737748003541,0.0116555355460673,0.00493340390745802
"1-220-1_0_B5_1",0.980380465713577,0.00327656817419391,0.0110597822131208,0.00528318389910766
"1-220-2_0_D5_1",0.988605449510397,0.00250574154514603,0.00475174387229435,0.00413706507216296
"1-220-3_0_D5_1",0.986045057219121,0.00146260889417846,0.00766049731876927,0.00483183656793141
"1-222-1_0_D6_1",0.990001904155354,0.00332897239968475,0.00369973695173514,0.00296938649322573
"1-222-2_0_D6_1",0.988789046730636,0.00316594741910194,0.00441772020666741,0.0036272856435952
"1-222-3_0_B6_1",0.988199960059702,0.00328267804601014,0.00470953772501654,0.00380782416927099
"1-404-1_0_C7_1",0.982907838652238,0.00539657104755239,0.00943382560696994,0.00226176469323991
"1-404-2_0_B7_1",0.980923495324736,0.00545653050100839,0.0101235448778847,0.00349642929637113
"1-404-3_0_B7_2",0.980923495324736,0.00545653050100839,0.0101235448778847,0.00349642929637113
"1-617-1_0_A9_1",0.987004933542226,0.00382936732479268,0.00692777416986585,0.00223792496311518
"1-617-2_0_D9_1",0.986443424414583,0.00376246253429815,0.00760236576554282,0.00219174728557625
"1-617-3_0_D9_1",0.984952640748686,0.00498119788138308,0.00823478918192078,0.00183137218801013
"1-677-1_0_A12_1",0.982273149909368,0.00535787658906746,0.00857377710241346,0.00379519639915059
"1-677-2_0_A12_1",0.981153835656208,0.00508459104884393,0.00901641172555558,0.00474516156939297
"1-677-3_0_D12_1",0.980542994532573,0.00485416290736692,0.00958303360279989,0.00501980895726014
"1-784-1_0_D13_1",0.987437862825852,0.00384697111500869,0.00668299427884964,0.00203217178029004
"1-784-2_0_B13_1",0.980870141324596,0.00543952490644213,0.00997152253038781,0.00371881123857427
"1-784-3_0_B13_1",0.986570147345345,0.00377628617023733,0.00720021300993099,0.002453353474487
"1-811-1_0_B16_1",0.987719143636661,0.00386466253653601,0.00595867058037451,0.00245752324642888
"1-811-2_0_C16_1",0.988051931223494,0.00379660780056649,0.00733427519186789,0.000817185784071686
"1-811-3_0_C16_1",0.988698269244604,0.00386320313797442,0.00654852945524434,0.000889998162176989
"1-873-1_0_B18_1",0.982846960697752,0.00510620669448923,0.00758724302487149,0.00445958958288676
"1-873-2_0_D18_1",0.980137940365413,0.00506540068373255,0.0113117292437506,0.00348492970710416
"1-873-3_0_B18_1",0.98310629573986,0.00457345009019486,0.00732721140390218,0.00499304276604324
"1-932-1_0_B19_1",0.982668865277922,0.00319975580326484,0.00885353116870085,0.0052778477501125
"1-932-2_0_D19_1",0.980387729875989,0.00318602872547075,0.0117636148447217,0.00466262655381881
"1-932-3_0_B19_1",0.98097612879623,0.00233173829763131,0.011785939507467,0.00490619339867144
"1-961-1_0_C20_1",0.982787450570781,0.00176959235632862,0.0124686518865362,0.00297430518635388
"1-961-2_0_C20_1",0.980338758610193,0.00298427104998329,0.011982724200757,0.00469424613906712
"1-961-3_0_D20_1",0.983460532557327,0.00173457708894562,0.0126897113030033,0.0021151790507238
"1-974-1_0_A21_1",0.994406229993626,0.000311603336282301,0.00148339730339319,0.00379876936669846
"1-974-2_0_B21_1",0.997094298006728,0.000411362801413262,0.00147298341490563,0.00102135577695344
"1-974-3_0_C21_1",0.984560106125442,0.00149578451017638,0.00875180534877677,0.00519230401560476
"1-977-1_0_B22_1",0.981535234409926,0.00295166003365804,0.0127168615395799,0.00279624401683583
"1-977-2_0_B22_1",0.981326955169269,0.00287874223785894,0.0127132555165618,0.00308104707631072
"1-977-3_0_C22_1",0.981326955169269,0.00287874223785894,0.0127132555165618,0.00308104707631072
"2-35-1_0_A24_1",0.000546231702256526,0.994968083221316,0.00208901726647853,0.00239666780994921
"2-35-2_0_A24_1",9.51737473212774e-06,0.995181214968164,0.00249370153034681,0.00231556612675699
"2-35-3_0_A24_1",0.000616941824565328,0.994189480392052,0.00270209374972082,0.00249148403366236
"2-496-1_0_H2_1",0.00121450648712469,0.993429876074398,0.00307661223926832,0.00227900519920899
"2-496-2_0_G2_1",0.000942909522840671,0.993665891986476,0.00331808591642536,0.00207311257425792
"2-496-3_0_G2_1",0.000849422534917955,0.993945375656626,0.00269681505658487,0.00250838675187132
"2-643-1_0_F4_1",0.000581756513562383,0.994184670994449,0.00337680883854428,0.00185676365344495
"2-643-2_0_F4_1",0.000715953275773055,0.994282406149337,0.00249613816279806,0.00250550241209191
"2-643-3_0_E4_1",0.0011473013171002,0.993462463069917,0.00320641176748798,0.00218382384549425
"2-656-1_0_E5_1",0.000582749286692621,0.994976407145246,0.00327220164399061,0.00116864192407106
"2-656-2_0_G5_1",0.000560612699722661,0.994756648460721,0.00333078939124839,0.00135194944830851
"2-656-3_0_E5_1",0.000508374776790814,0.994317656409945,0.00337925991527312,0.00179470889799135
"2-685-1_0_E8_1",0.000603177598702577,0.994645228475169,0.00334602363255261,0.00140557029357605
"2-685-2_0_F8_1",0.000763897229907199,0.994421530710402,0.00336310955593752,0.0014514625037527
"2-685-3_0_G8_1",0.000745061137404306,0.994624543092957,0.00333347105100604,0.00129692471863335
"2-780-1_0_G9_1",0.00107499400945702,0.994374644174237,0.00331721522914961,0.00123314658715605
"2-780-2_0_H9_1",8.92682897103895e-06,0.995660420431151,0.00324194665082741,0.00108870608905013
"2-780-3_0_E9_1",0.000549391500280049,0.994987121373842,0.0032742409996729,0.00118924612620539
"2-782-1_0_E10_1",0.00127606420221243,0.993479160031756,0.00326260919437534,0.00198216657165678
"2-782-2_0_H10_1",0.00122592114263252,0.993680995551973,0.00331918886412804,0.00177389444126589
"2-782-3_0_G10_1",0.00114765123264115,0.993982152739847,0.00333625183255516,0.00153394419495642
"2-872-1_0_E14_1",0.000566127313589498,0.994617286998442,0.00335054793832011,0.00146603774964836
"2-872-2_0_F14_1",0.000524429286570862,0.994809862964002,0.00331857168235175,0.00134713606707593
"2-872-3_0_G14_1",7.47756890367397e-06,0.995489021403422,0.00321935132151435,0.00128414970616002
"2-878-1_0_F15_1",9.2926255523423e-06,0.995121960966495,0.00293241479006181,0.00193633161789052
"2-878-2_0_G15_1",6.22052301704195e-06,0.996406969042273,0.00323614199054994,0.000350668444159979
